,,Total signal,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,,0s,79%,75%,76%,53%,74%,67%,66%,70%,78%,80%,83%,75%,68%,62%,82%,71%
,,Data ID,307_P1_G10_vastus_18C36_PWD_lean_0.mzXML,339_P1_H02_vastus_18C37_PWD_lean_0.mzXML,293_P1_G03_vastus_18C40_PWD_lean_0.mzXML,253_P1_F07_vastus_18C41_PWD_lean_0.mzXML,255_P1_F08_vastus_18C42_PWD_lean_0.mzXML,059_P1_B06_vastus_NPC1_PWD_lean_0.mzXML,205_P1_E07_vastus_NPC2_PWD_lean_0.mzXML,289_P1_G01_vastus_NPC3_PWD_lean_0.mzXML,049_P1_B01_vastus_RC59_PWD_lean_0.mzXML,303_P1_G08_vastus_18F50_PWD_obese_0.mzXML,201_P1_E05_vastus_18F52_PWD_obese_0.mzXML,117_P1_C11_vastus_18F54_PWD_obese_0.mzXML,211_P1_E10_vastus_18F55_PWD_obese_0.mzXML,149_P1_D03_vastus_18F57_PWD_obese_0.mzXML,151_P1_D04_vastus_NPF1_PWD_obese_0.mzXML,215_P1_E12_vastus_NPF2_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas,Vas
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1
,,Address,G10,H02,G03,F07,F08,B06,E07,G01,B01,G08,E05,C11,E10,D03,D04,E12
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2
CEXXX(16:03)_[M+Na]1+,SE,641.5268,0.029,0,0.003,0.007,0,0,0.06,0,0.177,0.017,0,0,2.092,0.018,0,0.001
CEXXX(18:00)_[M+Na]1+,SE,675.6051,0,0,0.062,0.212,0.227,0,0,0,0,0,0,0,0.004,0,0,0
CEXXX(18:02)_[M+Na]1+,SE,671.5738,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0
CEXXX(20:04)_[M+NH4]1+,SE,690.6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEXXX(22:06)_[M+Na]1+,SE,719.5738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEXXX(22:06)_[M+NH4]1+,SE,714.6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CerXX(36:02)_[M+H-H2O]1+,Cer,546.5245,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.233,0
CerXX(39:01)_[M+H-H2O]1+,Cer,590.5871,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0
CerXX(40:02)_[M+H]1+,Cer,620.5976,0,0.36,0,0,0,0.061,0,0.268,0,0,0,0,0,0,0.225,0
CerXX(41:02)_[M+H]1+,Cer,634.6133,0.171,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.333,0
CerXX(42:01)_[M+H-H2O]1+,Cer,632.634,0,0.462,0,0,0,0,0,0.146,0,0.077,0,0,0,0,0,0
CerXX(42:02)_[M+H-H2O]1+,Cer,630.6184,0,2.548,0,0.09,0,0,0,0.702,0,0,0,0,0,0,0,0
CerXX(43:03)_[M+H]1+,Cer,660.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGXXX(24:01)_[M+H-H2O]1+,TG,437.363,1.031,4.273,0.444,0.893,0.84,1.707,2.48,9.496,0.78,0.344,0.252,0.37,1.549,0.361,1.558,0.251
DGXXX(30:01)_[M+H-H2O]1+,TG,521.4564,0.224,16.43,1.658,0.538,9.01,5.355,0.582,10.787,5.704,4.032,0.273,11.033,7.676,7.838,0,11.573
DGXXX(30:02)_[M+H-H2O]1+,TG,519.4408,0,0.165,0,0,0.258,0.135,0,0.393,0,0,0,1.014,0.335,0.244,0,2.066
