,,Total signal,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0s,45%,55%,57%,59%,49%,57%,55%,45%,56%,66%,36%,48%,62%,63%,45%,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data ID,046_P4_A11_Adipose_18C36_PWD_lean_PW_0.mzXML,134_P4_C07_Adipose_18C37_PWD_lean_PW_0.mzXML,132_P4_C06_Adipose_18C40_PWD_lean_PW_0.mzXML,282_P4_F09_Adipose_18C41_PWD_lean_PW_0.mzXML,044_P4_A10_Adipose_18C42_PWD_lean_PW_0.mzXML,028_P4_A02_Adipose_NPC1_PWD_lean_PW_0.mzXML,266_P4_F01_Adipose_NPC2_PWD_lean_PW_0.mzXML,192_P4_D12_Adipose_NPC3_PWD_lean_PW_0.mzXML,370_P4_H05_Adipose_18F52_PWD_obese_PW_0.mzXML,088_P4_B08_Adipose_18F54_PWD_obese_PW_0.mzXML,228_P4_E06_Adipose_18F55_PWD_obese_PW_0.mzXML,122_P4_C01_Adipose_18F57_PWD_obese_PW_0.mzXML,322_P4_G05_Adipose_NPF1_PWD_obese_PW_0.mzXML,380_P4_H10_Adipose_NPF2_PWD_obese_PW_0.mzXML,232_P4_E08_Adipose_NPF4_PWD_obese_PW_0.mzXML,140_P4_C10_Adipose_NPF5_PWD_obese_PW_0.mzXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Compartment,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,Adi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Handling,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,Washed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96wPL No.,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Address,A11,C07,C06,F09,A10,A02,F01,D12,H05,B08,E06,C01,G05,H10,E08,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
