,,Total signal,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0s,7%,9%,6%,7%,10%,7%,10%,6%,7%,7%,8%,8%,8%,11%,8%,7%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data ID,155_P1_D06_brain_18C36_PWD_lean_0.mzXML,147_P1_D02_brain_18C37_PWD_lean_0.mzXML,163_P1_D10_brain_18C40_PWD_lean_0.mzXML,051_P1_B02_brain_18C41_PWD_lean_0.mzXML,245_P1_F03_brain_18C42_PWD_lean_0.mzXML,353_P1_H09_brain_NPC1_PWD_lean_0.mzXML,337_P1_H01_brain_NPC2_PWD_lean_0.mzXML,197_P1_E03_brain_NPC3_PWD_lean_0.mzXML,247_P1_F04_brain_18F50_PWD_obese_0.mzXML,055_P1_B04_brain_18F52_PWD_obese_0.mzXML,101_P1_C03_brain_18F54_PWD_obese_0.mzXML,213_P1_E11_brain_18F55_PWD_obese_0.mzXML,251_P1_F06_brain_18F57_PWD_obese_0.mzXML,243_P1_F02_brain_NPF1_PWD_obese_0.mzXML,013_P1_A07_brain_NPF2_PWD_obese_0.mzXML,195_P1_E02_brain_NPF4_PWD_obese_0.mzXML,349_P1_H07_brain_NPF5_PWD_obese_0.mzXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese,obese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Compartment,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,Bra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96wPL No.,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Address,D06,D02,D10,B02,F03,H09,H01,E03,F04,B04,C03,E11,F06,F02,A07,E02,H07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipid variable,Category,m/z,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(36:2)_[M-H]1-,Cer,562.5205,0.432,0.597,0.291,0.374,0.445,0.089,0.231,0.158,0.227,0.306,0.274,0.193,0.124,0.095,0.264,0.130,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(40:2)_[M+OAC]1-,Cer,678.6042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerXX(42:2)_[M+Cl]1-,Cer,682.591,0.010,0.002,0.006,0.013,0.049,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.010,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(15:0)_[M+OAC]1-,LPC,540.3307,0.359,0.666,0.523,0.929,0.663,0.316,0.107,0.473,0.434,0.377,1.276,0.370,0.302,0.210,0.501,0.450,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:0)_[M+OAC]1-,LPC,568.362,0.083,0.122,0.079,0.217,0.187,0.056,0.065,0.080,0.076,0.128,0.470,0.033,0.050,0.011,0.133,0.063,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(17:1)_[M+OAC]1-,LPC,566.3463,0.097,0.113,0.119,0.162,0.077,0.064,0.057,0.077,0.071,0.126,0.503,0.032,0.050,0.039,0.112,0.146,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:0)_[M+Cl]1-,LPC,558.3332,0.145,0.047,0.014,0.371,0.110,0.053,0.075,0.055,0.078,0.017,0.069,0.018,0.045,0.270,0.045,0.080,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:1)_[M+Cl]1-,LPC,556.3175,1.012,0.029,0.032,1.449,0.924,0.030,0.052,0.019,0.719,0.038,0.046,0.008,0.032,0.031,0.126,0.135,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(18:2)_[M+Cl]1-,LPC,554.3019,0.019,0.010,0.000,0.037,0.015,0.015,0.023,0.034,0.008,0.000,0.000,0.007,0.000,0.000,0.008,0.013,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:1)_[M+Cl]1-,LPC,584.3488,0.508,0.029,0.011,0.949,0.297,0.039,0.040,0.025,0.143,0.022,0.013,0.013,0.034,0.023,0.012,0.061,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(20:4)_[M+Cl]1-,LPC,578.3019,0.004,0.009,0.015,0.006,0.000,0.009,0.018,0.011,0.000,0.000,0.000,0.000,0.007,0.008,0.008,0.010,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:1)_[M+Cl]1-,LPC,612.3801,0.072,0.008,0.010,0.123,0.055,0.013,0.027,0.012,0.019,0.006,0.010,0.000,0.000,0.000,0.000,0.019,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(22:2)_[M+Cl]1-,LPC,610.3645,0.000,0.000,0.012,0.013,0.000,0.003,0.025,0.022,0.004,0.003,0.012,0.007,0.013,0.006,0.006,0.013,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCXX(24:0)_[M+OAC]1-,LPC,666.4715,0.000,0.106,0.023,0.007,0.005,0.378,0.136,0.024,0.026,0.000,0.018,0.057,0.070,0.006,0.000,0.036,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC-O(19:1)_[M+Cl]1-,LPC,554.3383,0.182,0.020,0.036,0.340,0.063,0.036,0.034,0.045,0.029,0.017,0.018,0.020,0.033,0.014,0.008,0.044,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(13:0)_[M-H]1-,LPE,410.2313,23.563,0.070,0.091,28.345,22.236,0.165,0.560,0.059,18.506,0.049,0.088,0.095,0.084,0.143,0.016,0.124,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(16:0)_[M-H]1-,LPE,452.2783,2.636,1.042,0.855,3.798,2.375,1.016,0.764,0.957,1.883,0.653,0.828,0.890,0.944,0.994,0.572,1.000,1.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:0)_[M-H]1-,LPE,480.3096,3.894,3.026,2.936,4.902,5.817,3.242,3.123,3.346,4.656,2.744,3.538,2.928,3.131,3.232,2.818,2.873,3.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(18:1)_[M-H]1-,LPE,478.2939,27.137,2.858,2.444,42.756,13.646,2.658,1.816,2.206,10.363,1.456,2.318,2.619,2.528,2.876,1.408,2.914,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:0)_[M-H]1-,LPE,508.3409,0.979,0.212,0.273,1.397,1.201,0.259,0.250,0.379,0.797,0.422,0.483,0.334,0.233,0.332,0.473,0.241,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(20:1)_[M-H]1-,LPE,506.3252,12.484,1.288,1.149,18.529,6.952,1.233,0.883,0.985,5.259,0.896,1.342,1.321,1.123,1.337,0.934,1.222,1.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEXX(22:6)_[M-H]1-,LPE,524.2783,28.810,2.916,3.004,46.299,11.880,2.383,1.802,2.804,9.242,1.531,2.590,2.780,2.960,2.562,1.820,3.097,3.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(34:0)_[M-H]1-,PA,675.496483,4.592,0.786,0.569,3.666,4.793,0.817,0.847,0.838,4.149,0.869,1.035,0.890,0.815,0.997,0.982,0.747,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:0)_[M-H]1-,PA,703.527783,2.010,1.053,0.866,1.681,2.101,1.347,1.374,1.383,2.291,1.407,1.538,1.337,1.245,1.450,1.303,1.058,1.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXXX(36:1)_[M-H]1-,PA,701.512133,14.127,12.540,10.059,11.604,15.102,15.913,16.263,15.696,17.992,16.208,17.591,15.566,14.807,16.826,15.320,12.641,12.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
