,,Total signal,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
,,0s,71%,70%,65%,45%,74%,69%,63%,71%,67%,68%,70%,65%,71%,75%,50%,73%
,,Data ID,022_P2_A11_heart_18C36_PWD_lean_0.mzXML,098_P2_C01_heart_18C37_PWD_lean_0.mzXML,020_P2_A10_heart_18C41_PWD_lean_0.mzXML,106_P2_C05_heart_18C42_PWD_lean_0.mzXML,116_P2_C10_heart_NPC1_PWD_lean_0.mzXML,062_P2_B07_heart_NPC2_PWD_lean_0.mzXML,120_P2_C12_heart_NPC3_PWD_lean_0.mzXML,056_P2_B04_heart_RC59_PWD_lean_0.mzXML,264_P2_F12_heart_18F50_PWD_obese_0.mzXML,244_P2_F02_heart_18F52_PWD_obese_0.mzXML,292_P2_G02_heart_18F54_PWD_obese_0.mzXML,168_P2_D12_heart_18F57_PWD_obese_0.mzXML,154_P2_D05_heart_NPF1_PWD_obese_0.mzXML,200_P2_E04_heart_NPF2_PWD_obese_0.mzXML,210_P2_E09_heart_NPF4_PWD_obese_0.mzXML,150_P2_D03_heart_NPF5_PWD_obese_0.mzXML
,,Sample ID,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD
,,Compartment,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea,Hea
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole
,,96wPL No.,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
,,Address,A11,C01,A10,C05,C10,B07,C12,B04,F12,F02,G02,D12,D05,E04,E09,D03
Lipid variable,Category,m/z,18C36,18C37,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F57,NPF1,NPF2,NPF4,NPF5
CerXX(36:2)_[M-H]1-,Cer,562.5205,0,0,0,0,0,0,0,0,0,0,0.822,0,0,0,0,0
CerXX(40:2)_[M+OAC]1-,Cer,678.6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CerXX(42:2)_[M+Cl]1-,Cer,682.591,0.113,0.28,0,0,0.13,0.106,0.104,0,0.809,0.626,0.035,0.462,0,0.048,0,1.69
LPCXX(15:0)_[M+OAC]1-,LPC,540.3307,39.75,35.92,18.632,17.206,16.798,8.856,35.205,23.659,14.071,11.214,9.257,30.321,15.143,15.841,1.556,18.453
LPCXX(17:0)_[M+OAC]1-,LPC,568.362,20.587,16.122,12.299,1.901,4.291,6.796,16.794,4.872,7.307,5.196,3.277,18.965,2.137,13.34,0.214,6.873
LPCXX(17:1)_[M+OAC]1-,LPC,566.3463,39.287,26.372,16.381,1.633,14.613,11.923,6.953,12.131,9.972,14.381,6.832,42.705,13.223,11.723,1.369,22.083
LPCXX(18:0)_[M+Cl]1-,LPC,558.3332,43.784,46.435,24.89,12.017,201.328,36.037,48.48,37.1,31.413,18.72,16.939,54.014,20.016,50.177,9.554,28.648
LPCXX(18:1)_[M+Cl]1-,LPC,556.3175,37.235,23.367,17.019,3.478,10.696,23.089,33.975,25.128,15.147,2.882,9.378,43.672,4.364,16.855,4.927,13.258
LPCXX(18:2)_[M+Cl]1-,LPC,554.3019,8.409,3.781,5.048,1.75,3.463,6.829,8.347,2.812,8.037,3.768,4.744,13.967,4.053,3.337,0.135,2.457
LPCXX(20:1)_[M+Cl]1-,LPC,584.3488,31.152,22.954,17.992,6.537,9.618,19.306,30.316,17.199,15.296,9.341,4.889,14.185,10.576,11.806,10.056,9.817
LPCXX(20:4)_[M+Cl]1-,LPC,578.3019,6.287,2.41,3.584,0.221,1.27,3.156,1.947,1.984,2.859,4.298,0,7.849,1.383,5.406,0,0
