,,Total signal,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,0.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0s,70%,74%,68%,65%,77%,62%,68%,74%,#DIV/0!,62%,58%,71%,70%,71%,72%,48%,53%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data ID,158_P2_D07_liver_18C36_PWD_lean_0.mzXML,108_P2_C06_liver_18C37_PWD_lean_0.mzXML,148_P2_D02_liver_18C40_PWD_lean_0.mzXML,206_P2_E07_liver_18C41_PWD_lean_0.mzXML,156_P2_D06_liver_18C42_PWD_lean_0.mzXML,114_P2_C09_liver_NPC1_PWD_lean_0.mzXML,166_P2_D11_liver_NPC2_PWD_lean_0.mzXML,112_P2_C08_liver_NPC3_PWD_lean_0.mzXML,204_P2_E06_liver_RC59_PWD_lean_0.mzXML,294_P2_G03_liver_18F50_PWD_obese_0.mzXML,344_P2_H04_liver_18F52_PWD_obese_0.mzXML,256_P2_F08_liver_18F54_PWD_obese_0.mzXML,360_P2_H12_liver_18F55_PWD_obese_0.mzXML,212_P2_E10_liver_18F57_PWD_obese_0.mzXML,304_P2_G08_liver_NPF1_PWD_obese_0.mzXML,312_P2_G12_liver_NPF2_PWD_obese_0.mzXML,252_P2_F06_liver_NPF4_PWD_obese_0.mzXML,342_P2_H03_liver_NPF5_PWD_obese_0.mzXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample ID,18C36,18C37,18C40,18C41,18C42,NPC1,NPC2,NPC3,RC59,18F50,18F52,18F54,18F55,18F57,NPF1,NPF2,NPF4,NPF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phenotype,lean,lean,lean,lean,lean,lean,lean,lean,lean,obese,obese,obese,obese,obese,obese,obese,obese,obese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Group,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Compartment,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,Liv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Handling,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,Whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96wPL No.,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Address,D07,C06,D02,E07,D06,C09,D11,C08,E06,G03,H04,F08,H12,E10,G08,G12,F06,H03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
