"","lean","obese"
"CerXX(36:2)_[M-H]1-","CerXX(36:2)_[M-H]1-","CerXX(36:2)_[M-H]1-"
"PC-OX(29:0)_[M+OAC]1-","PC-OX(29:0)_[M+OAC]1-","PC-OX(29:0)_[M+OAC]1-"
"PC-OX(31:1)_[M+OAC]1-","0","PC-OX(31:1)_[M+OAC]1-"
"PC-OX(33:1)_[M+OAC]1-","PC-OX(33:1)_[M+OAC]1-","PC-OX(33:1)_[M+OAC]1-"
"PC-OX(33:2)_[M+OAC]1-","PC-OX(33:2)_[M+OAC]1-","PC-OX(33:2)_[M+OAC]1-"
"PC-OX(33:3)_[M+OAC]1-","PC-OX(33:3)_[M+OAC]1-","PC-OX(33:3)_[M+OAC]1-"
"PC-OX(35:2)_[M+OAC]1-","PC-OX(35:2)_[M+OAC]1-","PC-OX(35:2)_[M+OAC]1-"
"PC-OX(36:1)_[M+OAC]1-","PC-OX(36:1)_[M+OAC]1-","PC-OX(36:1)_[M+OAC]1-"
"PC-OX(36:2)_[M+OAC]1-","PC-OX(36:2)_[M+OAC]1-","PC-OX(36:2)_[M+OAC]1-"
"PC-OX(37:1)_[M+OAC]1-","0","PC-OX(37:1)_[M+OAC]1-"
"PC-OX(37:2)_[M+Cl]1-","0","PC-OX(37:2)_[M+Cl]1-"
"PC-OX(38:1)_[M+OAC]1-","PC-OX(38:1)_[M+OAC]1-","PC-OX(38:1)_[M+OAC]1-"
"PC-OX(38:5)_[M+OAC]1-","PC-OX(38:5)_[M+OAC]1-","PC-OX(38:5)_[M+OAC]1-"
"PC-OX(39:0)_[M+Cl]1-","PC-OX(39:0)_[M+Cl]1-","PC-OX(39:0)_[M+Cl]1-"
"PC-OX(39:1)_[M+OAC]1-","PC-OX(39:1)_[M+OAC]1-","PC-OX(39:1)_[M+OAC]1-"
"PC-OX(40:3)_[M+Cl]1-","PC-OX(40:3)_[M+Cl]1-","PC-OX(40:3)_[M+Cl]1-"
"PC-OX(40:5)_[M+OAC]1-","PC-OX(40:5)_[M+OAC]1-","PC-OX(40:5)_[M+OAC]1-"
