"","lean","obese"
"DGXXX(24:01)_[M+H-H2O]1+","DGXXX(24:01)_[M+H-H2O]1+","DGXXX(24:01)_[M+H-H2O]1+"
"DGXXX(30:01)_[M+H-H2O]1+","DGXXX(30:01)_[M+H-H2O]1+","DGXXX(30:01)_[M+H-H2O]1+"
"DGXXX(32:01)_[M+H-H2O]1+","DGXXX(32:01)_[M+H-H2O]1+","DGXXX(32:01)_[M+H-H2O]1+"
"DGXXX(33:01)_[M+H-H2O]1+","DGXXX(33:01)_[M+H-H2O]1+","DGXXX(33:01)_[M+H-H2O]1+"
"DGXXX(34:01)_[M+H-H2O]1+","DGXXX(34:01)_[M+H-H2O]1+","DGXXX(34:01)_[M+H-H2O]1+"
"DGXXX(34:03)_[M+H-H2O]1+","DGXXX(34:03)_[M+H-H2O]1+","DGXXX(34:03)_[M+H-H2O]1+"
"DGXXX(36:03)_[M+H-H2O]1+","DGXXX(36:03)_[M+H-H2O]1+","DGXXX(36:03)_[M+H-H2O]1+"
"DGXXX(36:04)_[M+H-H2O]1+","DGXXX(36:04)_[M+H-H2O]1+","DGXXX(36:04)_[M+H-H2O]1+"
"DGXXX(38:04)_[M+H-H2O]1+","DGXXX(38:04)_[M+H-H2O]1+","DGXXX(38:04)_[M+H-H2O]1+"
"DGXXX(40:06)_[M+H-H2O]1+","DGXXX(40:06)_[M+H-H2O]1+","0"
"LPCXX(16:00)_[M+H]1+","LPCXX(16:00)_[M+H]1+","0"
"LPCXX(18:00)_[M+H]1+","LPCXX(18:00)_[M+H]1+","0"
"PAXXX(33:03)_[M+Na]1+","PAXXX(33:03)_[M+Na]1+","PAXXX(33:03)_[M+Na]1+"
"PCXXX(34:01)_[M+H]1+","PCXXX(34:01)_[M+H]1+","PCXXX(34:01)_[M+H]1+"
"PCXXX(36:01)_[M+H]1+","PCXXX(36:01)_[M+H]1+","0"
"PCXXX(36:02)_[M+H]1+","PCXXX(36:02)_[M+H]1+","PCXXX(36:02)_[M+H]1+"
"PCXXX(36:03)_[M+H]1+","PCXXX(36:03)_[M+H]1+","PCXXX(36:03)_[M+H]1+"
"PCXXX(36:04)_[M+H]1+","PCXXX(36:04)_[M+H]1+","PCXXX(36:04)_[M+H]1+"
"PCXXX(38:04)_[M+H]1+","PCXXX(38:04)_[M+H]1+","PCXXX(38:04)_[M+H]1+"
"PEXXX(32:06)_[M+H]1+","PEXXX(32:06)_[M+H]1+","PEXXX(32:06)_[M+H]1+"
"PGXXX(34:00)_[M+NH4]1+","PGXXX(34:00)_[M+NH4]1+","PGXXX(34:00)_[M+NH4]1+"
"SMXXX(34:01)_[M+H]1+ / DGXXX(44:08)_[M+H-H2O]1+","SMXXX(34:01)_[M+H]1+ / DGXXX(44:08)_[M+H-H2O]1+","SMXXX(34:01)_[M+H]1+ / DGXXX(44:08)_[M+H-H2O]1+"
"SMXXX(36:01)_[M+H]1+","SMXXX(36:01)_[M+H]1+","0"
"TGXXX(38:01)_[M+NH4]1+","TGXXX(38:01)_[M+NH4]1+","TGXXX(38:01)_[M+NH4]1+"
"TGXXX(48:01)_[M+NH4]1+","TGXXX(48:01)_[M+NH4]1+","TGXXX(48:01)_[M+NH4]1+"
"TGXXX(48:02)_[M+NH4]1+","TGXXX(48:02)_[M+NH4]1+","TGXXX(48:02)_[M+NH4]1+"
"TGXXX(50:00)_[M+Na]1+","TGXXX(50:00)_[M+Na]1+","TGXXX(50:00)_[M+Na]1+"
"TGXXX(50:01)_[M+NH4]1+","TGXXX(50:01)_[M+NH4]1+","TGXXX(50:01)_[M+NH4]1+"
"TGXXX(50:02)_[M+NH4]1+","TGXXX(50:02)_[M+NH4]1+","TGXXX(50:02)_[M+NH4]1+"
"TGXXX(50:03)_[M+H]1+","TGXXX(50:03)_[M+H]1+","TGXXX(50:03)_[M+H]1+"
"TGXXX(50:03)_[M+NH4]1+","TGXXX(50:03)_[M+NH4]1+","TGXXX(50:03)_[M+NH4]1+"
"TGXXX(52:02)_[M+NH4]1+","TGXXX(52:02)_[M+NH4]1+","TGXXX(52:02)_[M+NH4]1+"
"TGXXX(52:03)_[M+NH4]1+","TGXXX(52:03)_[M+NH4]1+","TGXXX(52:03)_[M+NH4]1+"
"TGXXX(52:04)_[M+NH4]1+","TGXXX(52:04)_[M+NH4]1+","TGXXX(52:04)_[M+NH4]1+"
"TGXXX(54:02)_[M+NH4]1+","TGXXX(54:02)_[M+NH4]1+","TGXXX(54:02)_[M+NH4]1+"
"TGXXX(54:03)_[M+NH4]1+","TGXXX(54:03)_[M+NH4]1+","TGXXX(54:03)_[M+NH4]1+"
"TGXXX(46:04)_[M+NH4]1+","0","TGXXX(46:04)_[M+NH4]1+"
"TGXXX(48:00)_[M+Na]1+","0","TGXXX(48:00)_[M+Na]1+"
"TGXXX(50:02)_[M+Na]1+","0","TGXXX(50:02)_[M+Na]1+"
"TGXXX(50:04)_[M+NH4]1+","0","TGXXX(50:04)_[M+NH4]1+"
"TGXXX(51:04)_[M+NH4]1+","0","TGXXX(51:04)_[M+NH4]1+"
"TGXXX(51:06)_[M+NH4]1+","0","TGXXX(51:06)_[M+NH4]1+"
"TGXXX(52:02)_[M+Na]1+","0","TGXXX(52:02)_[M+Na]1+"
