"","lean","obese"
"DGXXX(24:01)_[M+H-H2O]1+","DGXXX(24:01)_[M+H-H2O]1+","0"
"DGXXX(32:01)_[M+H-H2O]1+","DGXXX(32:01)_[M+H-H2O]1+","DGXXX(32:01)_[M+H-H2O]1+"
"DGXXX(34:01)_[M+H-H2O]1+","DGXXX(34:01)_[M+H-H2O]1+","DGXXX(34:01)_[M+H-H2O]1+"
"PCXXX(34:01)_[M+H]1+","PCXXX(34:01)_[M+H]1+","PCXXX(34:01)_[M+H]1+"
"PCXXX(36:04)_[M+H]1+","PCXXX(36:04)_[M+H]1+","PCXXX(36:04)_[M+H]1+"
"PCXXX(38:04)_[M+H]1+","PCXXX(38:04)_[M+H]1+","0"
"PGXXX(34:00)_[M+NH4]1+","PGXXX(34:00)_[M+NH4]1+","PGXXX(34:00)_[M+NH4]1+"
"TGXXX(38:01)_[M+NH4]1+","TGXXX(38:01)_[M+NH4]1+","TGXXX(38:01)_[M+NH4]1+"
"TGXXX(46:04)_[M+NH4]1+","TGXXX(46:04)_[M+NH4]1+","TGXXX(46:04)_[M+NH4]1+"
"TGXXX(52:02)_[M+NH4]1+","TGXXX(52:02)_[M+NH4]1+","0"
"DGXXX(38:04)_[M+H-H2O]1+","0","DGXXX(38:04)_[M+H-H2O]1+"
"PAXXX(33:03)_[M+Na]1+","0","PAXXX(33:03)_[M+Na]1+"
"TGXXX(48:00)_[M+Na]1+","0","TGXXX(48:00)_[M+Na]1+"
