"","lean","obese"
"GlycX(30:02)_[M+H-H2O]1+","GlycX(30:02)_[M+H-H2O]1+","0"
"GlycX(33:02)_[M+H-H2O]1+","GlycX(33:02)_[M+H-H2O]1+","0"
"GlycX(33:03)_[M+H-H2O]1+","0","GlycX(33:03)_[M+H-H2O]1+"
"GlycX(35:01)_[M+H-H2O]1+","GlycX(35:01)_[M+H-H2O]1+","GlycX(35:01)_[M+H-H2O]1+"
"GlycX(35:02)_[M+H-H2O]1+","GlycX(35:02)_[M+H-H2O]1+","GlycX(35:02)_[M+H-H2O]1+"
"GlycX(35:03)_[M+H-H2O]1+","GlycX(35:03)_[M+H-H2O]1+","0"
"GlycX(35:05)_[M+NH4]1+","GlycX(35:05)_[M+NH4]1+","0"
"GlycX(37:03)_[M+H-H2O]1+","GlycX(37:03)_[M+H-H2O]1+","GlycX(37:03)_[M+H-H2O]1+"
"GlycX(38:03)","GlycX(38:03)","GlycX(38:03)"
"GlycX(40:01)_[M+NH4]1+","GlycX(40:01)_[M+NH4]1+","GlycX(40:01)_[M+NH4]1+"
"GlycX(42:02)_[M+NH4]1+","GlycX(42:02)_[M+NH4]1+","0"
"GlycX(44:04)_[M+H-H2O]1+","GlycX(44:04)_[M+H-H2O]1+","0"
"GlycX(44:06)_[M+H-H2O]1+","GlycX(44:06)_[M+H-H2O]1+","0"
"GlycX(48:01)_[M+Na]1+","GlycX(48:01)_[M+Na]1+","0"
"GlycX(48:02)_[M+Na]1","GlycX(48:02)_[M+Na]1","0"
"GlycX(49:02)_[M+NH4]1+","GlycX(49:02)_[M+NH4]1+","GlycX(49:02)_[M+NH4]1+"
"GlycX(49:04)_[M+NH4]1+","0","GlycX(49:04)_[M+NH4]1+"
"GlycX(50:01)_[M+Na]1+","GlycX(50:01)_[M+Na]1+","GlycX(50:01)_[M+Na]1+"
"GlycX(50:02)_[M+Na]1+","GlycX(50:02)_[M+Na]1+","0"
"GlycX(50:03)_[M+Na]1+","GlycX(50:03)_[M+Na]1+","0"
"GlycX(50:04)_[M+NH4]1+","GlycX(50:04)_[M+NH4]1+","0"
"GlycX(51:04)_[M+NH4]1+","GlycX(51:04)_[M+NH4]1+","0"
"GlycX(51:05)_[M+NH4]1+","GlycX(51:05)_[M+NH4]1+","0"
"GlycX(51:06)_[M+NH4]1+","GlycX(51:06)_[M+NH4]1+","0"
"GlycX(51:07)_[M+NH4]1+","GlycX(51:07)_[M+NH4]1+","0"
"GlycX(52:00)_[M+Na]1+","GlycX(52:00)_[M+Na]1+","0"
"GlycX(52:02)_[M+Na]1+","GlycX(52:02)_[M+Na]1+","0"
"GlycX(52:03)_[M+Na]1+","GlycX(52:03)_[M+Na]1+","GlycX(52:03)_[M+Na]1+"
"GlycX(53:03)_[M+NH4]1+","GlycX(53:03)_[M+NH4]1+","0"
"GlycX(53:04)_[M+NH4]1+","GlycX(53:04)_[M+NH4]1+","GlycX(53:04)_[M+NH4]1+"
"GlycX(53:06)_[M+NH4]1+","GlycX(53:06)_[M+NH4]1+","GlycX(53:06)_[M+NH4]1+"
"GlycX(53:07)_[M+NH4]1+","GlycX(53:07)_[M+NH4]1+","0"
"GlycX(54:01)_[M+NH4]1+","GlycX(54:01)_[M+NH4]1+","0"
"GlycX(54:02)_[M+Na]1+","GlycX(54:02)_[M+Na]1+","0"
"GlycX(56:05)_[M+NH4]1+","GlycX(56:05)_[M+NH4]1+","GlycX(56:05)_[M+NH4]1+"
"GlycX(56:06)_[M+NH4]1+","GlycX(56:06)_[M+NH4]1+","0"
"GlycX(56:07)_[M+NH4]1+","GlycX(56:07)_[M+NH4]1+","0"
"GlycX(58:09)_[M+NH4]1+","GlycX(58:09)_[M+NH4]1+","0"
"SMXXX(38:02)_[M+H]1+","SMXXX(38:02)_[M+H]1+","0"
"SMXXX(41:01)_[M+H]1+","0","SMXXX(41:01)_[M+H]1+"
"SMXXX(45:00)_[M+H]1+","SMXXX(45:00)_[M+H]1+","0"
"SMXXX(47:01)_[M+H]1+","SMXXX(47:01)_[M+H]1+","0"
