"","lean","obese"
"CEXXX(20:04)_[M+NH4]1+","0","CEXXX(20:04)_[M+NH4]1+"
"GlycX(42:08)_[M+H-H2O]1+","0","GlycX(42:08)_[M+H-H2O]1+"
"GlycX(44:07)_[M+H-H2O]1+","0","GlycX(44:07)_[M+H-H2O]1+"
"GlycX(44:09)_[M+H-H2O]1+","GlycX(44:09)_[M+H-H2O]1+","GlycX(44:09)_[M+H-H2O]1+"
"LPSXX(17:01)_[M+H]1+","LPSXX(17:01)_[M+H]1+","0"
"PC-OX(20:01)_[M+H]1+","PC-OX(20:01)_[M+H]1+","0"
"PGXXX(38:05)_[M+H]1+","PGXXX(38:05)_[M+H]1+","0"
"SMXXX(32:01)_[M+H]1+","0","SMXXX(32:01)_[M+H]1+"
"SMXXX(32:02)_[M+H]1+","SMXXX(32:02)_[M+H]1+","0"
"SMXXX(34:02)_[M+H]1+","SMXXX(34:02)_[M+H]1+","SMXXX(34:02)_[M+H]1+"
"SMXXX(41:04)_[M+H]1+","SMXXX(41:04)_[M+H]1+","0"
