"","lean","obese"
"DGXXX(30:02)_[M+H-H2O]1+","DGXXX(30:02)_[M+H-H2O]1+","0"
"DGXXX(33:02)_[M+H-H2O]1+","DGXXX(33:02)_[M+H-H2O]1+","0"
"DGXXX(33:03)_[M+H-H2O]1+","0","DGXXX(33:03)_[M+H-H2O]1+"
"DGXXX(35:01)_[M+H-H2O]1+","DGXXX(35:01)_[M+H-H2O]1+","DGXXX(35:01)_[M+H-H2O]1+"
"DGXXX(35:02)_[M+H-H2O]1+","DGXXX(35:02)_[M+H-H2O]1+","DGXXX(35:02)_[M+H-H2O]1+"
"DGXXX(35:03)_[M+H-H2O]1+","DGXXX(35:03)_[M+H-H2O]1+","0"
"DGXXX(35:05)_[M+NH4]1+","DGXXX(35:05)_[M+NH4]1+","0"
"DGXXX(37:03)_[M+H-H2O]1+","DGXXX(37:03)_[M+H-H2O]1+","DGXXX(37:03)_[M+H-H2O]1+"
"DGXXX(44:04)_[M+H-H2O]1+","DGXXX(44:04)_[M+H-H2O]1+","0"
"DGXXX(44:06)_[M+H-H2O]1+","DGXXX(44:06)_[M+H-H2O]1+","0"
"SMXXX(38:02)_[M+H]1+","SMXXX(38:02)_[M+H]1+","0"
"SMXXX(41:01)_[M+H]1+","0","SMXXX(41:01)_[M+H]1+"
"SMXXX(45:00)_[M+H]1+","SMXXX(45:00)_[M+H]1+","0"
"SMXXX(47:01)_[M+H]1+","SMXXX(47:01)_[M+H]1+","0"
"TGXXX(38:03)","TGXXX(38:03)","TGXXX(38:03)"
"TGXXX(40:01)_[M+NH4]1+","TGXXX(40:01)_[M+NH4]1+","TGXXX(40:01)_[M+NH4]1+"
"TGXXX(42:02)_[M+NH4]1+","TGXXX(42:02)_[M+NH4]1+","0"
"TGXXX(48:01)_[M+Na]1+","TGXXX(48:01)_[M+Na]1+","0"
"TGXXX(48:02)_[M+Na]1","TGXXX(48:02)_[M+Na]1","0"
"TGXXX(49:02)_[M+NH4]1+","TGXXX(49:02)_[M+NH4]1+","TGXXX(49:02)_[M+NH4]1+"
"TGXXX(49:04)_[M+NH4]1+","0","TGXXX(49:04)_[M+NH4]1+"
"TGXXX(50:01)_[M+Na]1+","TGXXX(50:01)_[M+Na]1+","TGXXX(50:01)_[M+Na]1+"
"TGXXX(50:02)_[M+Na]1+","TGXXX(50:02)_[M+Na]1+","0"
"TGXXX(50:03)_[M+Na]1+","TGXXX(50:03)_[M+Na]1+","0"
"TGXXX(50:04)_[M+NH4]1+","TGXXX(50:04)_[M+NH4]1+","0"
"TGXXX(51:04)_[M+NH4]1+","TGXXX(51:04)_[M+NH4]1+","0"
"TGXXX(51:05)_[M+NH4]1+","TGXXX(51:05)_[M+NH4]1+","0"
"TGXXX(51:06)_[M+NH4]1+","TGXXX(51:06)_[M+NH4]1+","0"
"TGXXX(51:07)_[M+NH4]1+","TGXXX(51:07)_[M+NH4]1+","0"
"TGXXX(52:00)_[M+Na]1+","TGXXX(52:00)_[M+Na]1+","0"
"TGXXX(52:02)_[M+Na]1+","TGXXX(52:02)_[M+Na]1+","0"
"TGXXX(52:03)_[M+Na]1+","TGXXX(52:03)_[M+Na]1+","TGXXX(52:03)_[M+Na]1+"
"TGXXX(53:03)_[M+NH4]1+","TGXXX(53:03)_[M+NH4]1+","0"
"TGXXX(53:04)_[M+NH4]1+","TGXXX(53:04)_[M+NH4]1+","TGXXX(53:04)_[M+NH4]1+"
"TGXXX(53:06)_[M+NH4]1+","TGXXX(53:06)_[M+NH4]1+","TGXXX(53:06)_[M+NH4]1+"
"TGXXX(53:07)_[M+NH4]1+","TGXXX(53:07)_[M+NH4]1+","0"
"TGXXX(54:01)_[M+NH4]1+","TGXXX(54:01)_[M+NH4]1+","0"
"TGXXX(54:02)_[M+Na]1+","TGXXX(54:02)_[M+Na]1+","0"
"TGXXX(56:05)_[M+NH4]1+","TGXXX(56:05)_[M+NH4]1+","TGXXX(56:05)_[M+NH4]1+"
"TGXXX(56:06)_[M+NH4]1+","TGXXX(56:06)_[M+NH4]1+","0"
"TGXXX(56:07)_[M+NH4]1+","TGXXX(56:07)_[M+NH4]1+","0"
"TGXXX(58:09)_[M+NH4]1+","TGXXX(58:09)_[M+NH4]1+","0"
