"","lean","obese"
"CerXX(36:02)_[M+H-H2O]1+","CerXX(36:02)_[M+H-H2O]1+","0"
"CerXX(40:02)_[M+H]1+","CerXX(40:02)_[M+H]1+","CerXX(40:02)_[M+H]1+"
"CerXX(41:02)_[M+H]1+","CerXX(41:02)_[M+H]1+","CerXX(41:02)_[M+H]1+"
"CerXX(42:01)_[M+H-H2O]1+","CerXX(42:01)_[M+H-H2O]1+","CerXX(42:01)_[M+H-H2O]1+"
"CerXX(42:02)_[M+H-H2O]1+","CerXX(42:02)_[M+H-H2O]1+","CerXX(42:02)_[M+H-H2O]1+"
"CEXXX(22:06)_[M+Na]1+","CEXXX(22:06)_[M+Na]1+","CEXXX(22:06)_[M+Na]1+"
"DGXXX(34:02)_[M+NH4]1+","0","DGXXX(34:02)_[M+NH4]1+"
"LPEXX(18:01)_[M+H]1+ / LPCXX(15:01)_[M+H]1+","LPEXX(18:01)_[M+H]1+ / LPCXX(15:01)_[M+H]1+","LPEXX(18:01)_[M+H]1+ / LPCXX(15:01)_[M+H]1+"
"PAXXX(43:06)_[M+Na]1+","PAXXX(43:06)_[M+Na]1+","PAXXX(43:06)_[M+Na]1+"
"PC-OX(32:00)_[M+H]1+","PC-OX(32:00)_[M+H]1+","PC-OX(32:00)_[M+H]1+"
"PC-OX(32:01)_[M+H]1+","PC-OX(32:01)_[M+H]1+","PC-OX(32:01)_[M+H]1+"
"PC-OX(34:01)_[M+H]1+","PC-OX(34:01)_[M+H]1+","PC-OX(34:01)_[M+H]1+"
"PC-OX(34:02)_[M+H]1+","PC-OX(34:02)_[M+H]1+","PC-OX(34:02)_[M+H]1+"
"PC-OX(35:03)_[M+H]1+","PC-OX(35:03)_[M+H]1+","PC-OX(35:03)_[M+H]1+"
"PC-OX(36:01)_[M+H]1+","PC-OX(36:01)_[M+H]1+","PC-OX(36:01)_[M+H]1+"
"PC-OX(36:02)_[M+H]1+","PC-OX(36:02)_[M+H]1+","PC-OX(36:02)_[M+H]1+"
"PC-OX(36:03)_[M+H]1+","PC-OX(36:03)_[M+H]1+","PC-OX(36:03)_[M+H]1+"
"PC-OX(36:05)_[M+H]1+","PC-OX(36:05)_[M+H]1+","0"
"PC-OX(37:03)_[M+H]1+","PC-OX(37:03)_[M+H]1+","PC-OX(37:03)_[M+H]1+"
"PC-OX(40:04)_[M+H]1+","0","PC-OX(40:04)_[M+H]1+"
"PC-OX(42:05)_[M+H]1+","PC-OX(42:05)_[M+H]1+","PC-OX(42:05)_[M+H]1+"
"PC-OX(42:10)_[M+H]1+","PC-OX(42:10)_[M+H]1+","PC-OX(42:10)_[M+H]1+"
"PCXXX(32:02)_[M+H]1+","0","PCXXX(32:02)_[M+H]1+"
"PCXXX(38:01)_[M+H]1+","PCXXX(38:01)_[M+H]1+","PCXXX(38:01)_[M+H]1+"
"PCXXX(40:04)_[M+H]1+","PCXXX(40:04)_[M+H]1+","PCXXX(40:04)_[M+H]1+"
"PCXXX(40:08)_[M+H]1+","0","PCXXX(40:08)_[M+H]1+"
"PE-OX(36:04)_[M+H]1+","PE-OX(36:04)_[M+H]1+","PE-OX(36:04)_[M+H]1+"
"PE-OX(40:08)_[M+H]1+","PE-OX(40:08)_[M+H]1+","PE-OX(40:08)_[M+H]1+"
"PEXXX(34:00)_[M+H]1+","PEXXX(34:00)_[M+H]1+","PEXXX(34:00)_[M+H]1+"
"PEXXX(34:01)_[M+H]1+","PEXXX(34:01)_[M+H]1+","PEXXX(34:01)_[M+H]1+"
"PEXXX(36:00)_[M+H]1+","PEXXX(36:00)_[M+H]1+","PEXXX(36:00)_[M+H]1+"
"PEXXX(38:01)_[M+H]1+","PEXXX(38:01)_[M+H]1+","PEXXX(38:01)_[M+H]1+"
"PEXXX(38:02)_[M+H]1+","PEXXX(38:02)_[M+H]1+","0"
"PEXXX(42:09)_[M+H]1+","PEXXX(42:09)_[M+H]1+","PEXXX(42:09)_[M+H]1+"
"PG-OX(32:01)_[M+NH4]1+","PG-OX(32:01)_[M+NH4]1+","PG-OX(32:01)_[M+NH4]1+"
"PG-OX(34:01)_[M+NH4]1+","PG-OX(34:01)_[M+NH4]1+","PG-OX(34:01)_[M+NH4]1+"
"PG-OX(37:02)_[M+Na]1+","PG-OX(37:02)_[M+Na]1+","PG-OX(37:02)_[M+Na]1+"
"PGXXX(36:00)_[M+H]1+","PGXXX(36:00)_[M+H]1+","PGXXX(36:00)_[M+H]1+"
"PGXXX(36:01)_[M+Na]1+","PGXXX(36:01)_[M+Na]1+","PGXXX(36:01)_[M+Na]1+"
"PGXXX(36:02)_[M+H]1+","PGXXX(36:02)_[M+H]1+","PGXXX(36:02)_[M+H]1+"
"PGXXX(37:01)_[M+Na]1+","PGXXX(37:01)_[M+Na]1+","PGXXX(37:01)_[M+Na]1+"
"PGXXX(38:00)_[M+H]1+","PGXXX(38:00)_[M+H]1+","PGXXX(38:00)_[M+H]1+"
"PGXXX(39:01)_[M+Na]1+","0","PGXXX(39:01)_[M+Na]1+"
"PGXXX(39:04)_[M+H]1+","PGXXX(39:04)_[M+H]1+","PGXXX(39:04)_[M+H]1+"
"PGXXX(39:07)_[M+Na]1+","PGXXX(39:07)_[M+Na]1+","0"
"PI-OX(32:01)_[M+H]1+","PI-OX(32:01)_[M+H]1+","PI-OX(32:01)_[M+H]1+"
"PSXXX(33:00)_[M+Na]1+","PSXXX(33:00)_[M+Na]1+","PSXXX(33:00)_[M+Na]1+"
"PSXXX(35:03)_[M+H]1+","PSXXX(35:03)_[M+H]1+","PSXXX(35:03)_[M+H]1+"
"PSXXX(35:04)_[M+H]1+","PSXXX(35:04)_[M+H]1+","PSXXX(35:04)_[M+H]1+"
"PSXXX(36:02)_[M+H]1+","PSXXX(36:02)_[M+H]1+","PSXXX(36:02)_[M+H]1+"
"PSXXX(37:04)_[M+H]1+","PSXXX(37:04)_[M+H]1+","PSXXX(37:04)_[M+H]1+"
"PSXXX(38:01)_[M+H]1+","0","PSXXX(38:01)_[M+H]1+"
"PSXXX(38:03)_[M+Na]1+","PSXXX(38:03)_[M+Na]1+","PSXXX(38:03)_[M+Na]1+"
"PSXXX(40:06)_[M+Na]1+","PSXXX(40:06)_[M+Na]1+","PSXXX(40:06)_[M+Na]1+"
"PSXXX(42:09)_[M+H]1+","PSXXX(42:09)_[M+H]1+","PSXXX(42:09)_[M+H]1+"
"SMXXX(36:02)_[M+H]1+","0","SMXXX(36:02)_[M+H]1+"
"SMXXX(38:01)_[M+H]1+","SMXXX(38:01)_[M+H]1+","SMXXX(38:01)_[M+H]1+"
"SMXXX(40:01)_[M+H]1+","0","SMXXX(40:01)_[M+H]1+"
"SMXXX(40:02)_[M+H]1+","SMXXX(40:02)_[M+H]1+","SMXXX(40:02)_[M+H]1+"
"SMXXX(40:07)_[M+H]1+","SMXXX(40:07)_[M+H]1+","0"
"SMXXX(41:01)_[M+H]1+","SMXXX(41:01)_[M+H]1+","0"
"SMXXX(42:01)_[M+H]1+","SMXXX(42:01)_[M+H]1+","SMXXX(42:01)_[M+H]1+"
"SMXXX(43:06)_[M+H]1+","SMXXX(43:06)_[M+H]1+","SMXXX(43:06)_[M+H]1+"
"TGoxX(45:04)","TGoxX(45:04)","TGoxX(45:04)"
"TGXXX(41:02)_[M+Na]1+","TGXXX(41:02)_[M+Na]1+","TGXXX(41:02)_[M+Na]1+"
"TGXXX(42:04)_[M+Na]1+","TGXXX(42:04)_[M+Na]1+","TGXXX(42:04)_[M+Na]1+"
"TGXXX(43:02)_[M+Na]1+","TGXXX(43:02)_[M+Na]1+","TGXXX(43:02)_[M+Na]1+"
"TGXXX(43:04)_[M+NH4]1+","TGXXX(43:04)_[M+NH4]1+","TGXXX(43:04)_[M+NH4]1+"
"TGXXX(45:03)_[M+Na]1+","TGXXX(45:03)_[M+Na]1+","TGXXX(45:03)_[M+Na]1+"
"TGXXX(46:02)_[M+Na]1+","TGXXX(46:02)_[M+Na]1+","TGXXX(46:02)_[M+Na]1+"
"TGXXX(46:05)_[M+NH4]1+","TGXXX(46:05)_[M+NH4]1+","TGXXX(46:05)_[M+NH4]1+"
"TGXXX(47:03)_[M+Na]1+","TGXXX(47:03)_[M+Na]1+","TGXXX(47:03)_[M+Na]1+"
"TGXXX(48:06)_[M+NH4]1+","TGXXX(48:06)_[M+NH4]1+","TGXXX(48:06)_[M+NH4]1+"
"TGXXX(50:06)_[M+Na]1+","TGXXX(50:06)_[M+Na]1+","TGXXX(50:06)_[M+Na]1+"
